#  NACA 4417                                       
#  alpha =   1.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.0000
#
#    x           cf
   0.983052E-04  0.137385E-03
   0.249266E-04  0.340722E-03
   0.279266E-07  0.536313E-03
   0.214136E-04  0.720351E-03
   0.894940E-04  0.899659E-03
   0.205926E-03  0.106658E-02
   0.371664E-03  0.122458E-02
   0.587159E-03  0.136849E-02
   0.853062E-03  0.149912E-02
   0.117003E-02  0.161626E-02
   0.153851E-02  0.171833E-02
   0.195874E-02  0.180729E-02
   0.243096E-02  0.188200E-02
   0.295545E-02  0.194399E-02
   0.353243E-02  0.199399E-02
   0.416216E-02  0.203237E-02
   0.484492E-02  0.206099E-02
   0.558107E-02  0.208001E-02
   0.637104E-02  0.209094E-02
   0.721537E-02  0.209478E-02
   0.811471E-02  0.209179E-02
   0.906980E-02  0.208408E-02
   0.100816E-01  0.207063E-02
   0.111511E-01  0.205436E-02
   0.122796E-01  0.203343E-02
   0.134684E-01  0.201098E-02
   0.147191E-01  0.198493E-02
   0.160334E-01  0.195822E-02
   0.174134E-01  0.192884E-02
   0.188611E-01  0.189935E-02
   0.203791E-01  0.186795E-02
   0.219698E-01  0.183682E-02
   0.236361E-01  0.180435E-02
   0.253812E-01  0.177240E-02
   0.272085E-01  0.173953E-02
   0.291215E-01  0.170733E-02
   0.311243E-01  0.167456E-02
   0.332211E-01  0.164246E-02
   0.354164E-01  0.161017E-02
   0.377151E-01  0.157836E-02
   0.401224E-01  0.154678E-02
   0.426437E-01  0.151543E-02
   0.452848E-01  0.148462E-02
   0.480519E-01  0.145392E-02
   0.509512E-01  0.142377E-02
   0.539893E-01  0.139390E-02
   0.571731E-01  0.136433E-02
   0.605093E-01  0.133525E-02
   0.640051E-01  0.130641E-02
   0.676674E-01  0.127789E-02
   0.715029E-01  0.124977E-02
   0.755182E-01  0.122191E-02
   0.797194E-01  0.119432E-02
   0.841122E-01  0.116705E-02
   0.887014E-01  0.114004E-02
   0.934910E-01  0.111327E-02
   0.984841E-01  0.108674E-02
   0.103683      0.106045E-02
   0.109087      0.103439E-02
   0.114697      0.100853E-02
   0.120509      0.982866E-03
   0.126522      0.957400E-03
   0.132730      0.932123E-03
   0.139128      0.907030E-03
   0.145709      0.882113E-03
   0.152466      0.857368E-03
   0.159391      0.832788E-03
   0.166475      0.808366E-03
   0.173710      0.784097E-03
   0.181086      0.759975E-03
   0.188597      0.735991E-03
   0.196233      0.712139E-03
   0.203986      0.688408E-03
   0.211850      0.664790E-03
   0.219816      0.641272E-03
   0.227878      0.617842E-03
   0.236031      0.594488E-03
   0.244267      0.571197E-03
   0.252583      0.547955E-03
   0.260974      0.524754E-03
   0.269434      0.501589E-03
   0.277962      0.478472E-03
   0.286553      0.455451E-03
   0.295204      0.432653E-03
   0.303913      0.410444E-03
   0.312677      0.389726E-03
   0.321497      0.374678E-03
   0.330370      0.380468E-03
   0.339297      0.311179E-02
   0.348277      0.553717E-02
   0.357313      0.630760E-02
   0.366406      0.623228E-02
   0.375560      0.598762E-02
   0.384782      0.574942E-02
   0.394077      0.552972E-02
   0.403461      0.531417E-02
   0.412938      0.515555E-02
   0.422492      0.502876E-02
   0.432115      0.491713E-02
   0.441798      0.481458E-02
   0.451532      0.471873E-02
   0.461312      0.462780E-02
   0.471133      0.454095E-02
   0.480990      0.445755E-02
   0.490878      0.437717E-02
   0.500795      0.429948E-02
   0.510737      0.422420E-02
   0.520703      0.415112E-02
   0.530689      0.408002E-02
   0.540694      0.401072E-02
   0.550716      0.394307E-02
   0.560754      0.387691E-02
   0.570805      0.381210E-02
   0.580869      0.374851E-02
   0.590944      0.368603E-02
   0.601028      0.362455E-02
   0.611122      0.356395E-02
   0.621224      0.350414E-02
   0.631332      0.344502E-02
   0.641445      0.338650E-02
   0.651563      0.332848E-02
   0.661685      0.327088E-02
   0.671809      0.321361E-02
   0.681935      0.315658E-02
   0.692061      0.309970E-02
   0.702187      0.304289E-02
   0.712311      0.298605E-02
   0.722433      0.292909E-02
   0.732550      0.287192E-02
   0.742662      0.281442E-02
   0.752767      0.275651E-02
   0.762864      0.269807E-02
   0.772950      0.263898E-02
   0.783024      0.257912E-02
   0.793082      0.251835E-02
   0.803122      0.245654E-02
   0.813139      0.239352E-02
   0.823130      0.232914E-02
   0.833089      0.226320E-02
   0.843009      0.219552E-02
   0.852881      0.212588E-02
   0.862696      0.205406E-02
   0.872441      0.197980E-02
   0.882101      0.190285E-02
   0.891660      0.182292E-02
   0.901095      0.173975E-02
   0.910384      0.165305E-02
   0.919500      0.156259E-02
   0.928413      0.146818E-02
   0.937092      0.136973E-02
   0.945507      0.126734E-02
   0.953628      0.116137E-02
   0.961428      0.105253E-02
   0.968886      0.941985E-03
   0.975986      0.831384E-03
   0.982719      0.722703E-03
   0.989083      0.618819E-03
   0.995083      0.519319E-03
    1.00000      0.452618E-03
    1.00010       0.00000    
    1.00525       0.00000    
    1.01086       0.00000    
    1.01698       0.00000    
    1.02364       0.00000    
    1.03090       0.00000    
    1.03881       0.00000    
    1.04743       0.00000    
    1.05682       0.00000    
    1.06704       0.00000    
    1.07818       0.00000    
    1.09032       0.00000    
    1.10353       0.00000    
    1.11793       0.00000    
    1.13361       0.00000    
    1.15069       0.00000    
    1.16929       0.00000    
    1.18955       0.00000    
    1.21162       0.00000    
    1.23566       0.00000    
    1.26184       0.00000    
    1.29036       0.00000    
    1.32141       0.00000    
    1.35524       0.00000    
    1.39208       0.00000    
    1.43220       0.00000    
