#  NACA 4417                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.5000
#
#    x           cf
   0.639178E-03  0.132028E-03
   0.403039E-03  0.354441E-03
   0.223492E-03  0.569223E-03
   0.983052E-04  0.774260E-03
   0.249266E-04  0.966251E-03
   0.279266E-07  0.114749E-02
   0.214136E-04  0.131964E-02
   0.894940E-04  0.148183E-02
   0.205926E-03  0.163151E-02
   0.371664E-03  0.176869E-02
   0.587159E-03  0.189153E-02
   0.853062E-03  0.199864E-02
   0.117003E-02  0.209213E-02
   0.153851E-02  0.216929E-02
   0.195874E-02  0.223335E-02
   0.243096E-02  0.228301E-02
   0.295545E-02  0.232015E-02
   0.353243E-02  0.234586E-02
   0.416216E-02  0.236048E-02
   0.484492E-02  0.236622E-02
   0.558107E-02  0.236322E-02
   0.637104E-02  0.235313E-02
   0.721537E-02  0.233702E-02
   0.811471E-02  0.231508E-02
   0.906980E-02  0.228959E-02
   0.100816E-01  0.225931E-02
   0.111511E-01  0.222738E-02
   0.122796E-01  0.219167E-02
   0.134684E-01  0.215556E-02
   0.147191E-01  0.211664E-02
   0.160334E-01  0.207807E-02
   0.174134E-01  0.203757E-02
   0.188611E-01  0.199783E-02
   0.203791E-01  0.195685E-02
   0.219698E-01  0.191689E-02
   0.236361E-01  0.187618E-02
   0.253812E-01  0.183666E-02
   0.272085E-01  0.179673E-02
   0.291215E-01  0.175804E-02
   0.311243E-01  0.171923E-02
   0.332211E-01  0.168156E-02
   0.354164E-01  0.164411E-02
   0.377151E-01  0.160754E-02
   0.401224E-01  0.157155E-02
   0.426437E-01  0.153611E-02
   0.452848E-01  0.150154E-02
   0.480519E-01  0.146734E-02
   0.509512E-01  0.143397E-02
   0.539893E-01  0.140112E-02
   0.571731E-01  0.136879E-02
   0.605093E-01  0.133715E-02
   0.640051E-01  0.130595E-02
   0.676674E-01  0.127524E-02
   0.715029E-01  0.124509E-02
   0.755182E-01  0.121534E-02
   0.797194E-01  0.118601E-02
   0.841122E-01  0.115710E-02
   0.887014E-01  0.112858E-02
   0.934910E-01  0.110040E-02
   0.984841E-01  0.107255E-02
   0.103683      0.104501E-02
   0.109087      0.101778E-02
   0.114697      0.990828E-03
   0.120509      0.964131E-03
   0.126522      0.937682E-03
   0.132730      0.911469E-03
   0.139128      0.885480E-03
   0.145709      0.859706E-03
   0.152466      0.834134E-03
   0.159391      0.808755E-03
   0.166475      0.783557E-03
   0.173710      0.758532E-03
   0.181086      0.733670E-03
   0.188597      0.708960E-03
   0.196233      0.684392E-03
   0.203986      0.659955E-03
   0.211850      0.635637E-03
   0.219816      0.611427E-03
   0.227878      0.587313E-03
   0.236031      0.563286E-03
   0.244267      0.539343E-03
   0.252583      0.515489E-03
   0.260974      0.491753E-03
   0.269434      0.468213E-03
   0.277962      0.445066E-03
   0.286553      0.422838E-03
   0.295204      0.403150E-03
   0.303913      0.392835E-03
   0.312677      0.103171E-02
   0.321497      0.436590E-02
   0.330370      0.628564E-02
   0.339297      0.666487E-02
   0.348277      0.648392E-02
   0.357313      0.622801E-02
