#  NACA 4417                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.0000
#
#    x           cf
   0.639178E-03  0.129311E-03
   0.403039E-03  0.351738E-03
   0.223492E-03  0.566546E-03
   0.983052E-04  0.771626E-03
   0.249266E-04  0.963664E-03
   0.279266E-07  0.114496E-02
   0.214136E-04  0.131716E-02
   0.894940E-04  0.147941E-02
   0.205926E-03  0.162917E-02
   0.371664E-03  0.176643E-02
   0.587159E-03  0.188935E-02
   0.853062E-03  0.199656E-02
   0.117003E-02  0.209015E-02
   0.153851E-02  0.216741E-02
   0.195874E-02  0.223157E-02
   0.243096E-02  0.228133E-02
   0.295545E-02  0.231858E-02
   0.353243E-02  0.234438E-02
   0.416216E-02  0.235910E-02
   0.484492E-02  0.236493E-02
   0.558107E-02  0.236202E-02
   0.637104E-02  0.235202E-02
   0.721537E-02  0.233599E-02
   0.811471E-02  0.231412E-02
   0.906980E-02  0.228870E-02
   0.100816E-01  0.225849E-02
   0.111511E-01  0.222662E-02
   0.122796E-01  0.219097E-02
   0.134684E-01  0.215491E-02
   0.147191E-01  0.211605E-02
   0.160334E-01  0.207752E-02
   0.174134E-01  0.203706E-02
   0.188611E-01  0.199737E-02
   0.203791E-01  0.195642E-02
   0.219698E-01  0.191650E-02
   0.236361E-01  0.187583E-02
   0.253812E-01  0.183633E-02
   0.272085E-01  0.179643E-02
   0.291215E-01  0.175776E-02
   0.311243E-01  0.171897E-02
   0.332211E-01  0.168133E-02
   0.354164E-01  0.164389E-02
   0.377151E-01  0.160734E-02
   0.401224E-01  0.157137E-02
   0.426437E-01  0.153594E-02
   0.452848E-01  0.150139E-02
   0.480519E-01  0.146720E-02
   0.509512E-01  0.143384E-02
   0.539893E-01  0.140100E-02
   0.571731E-01  0.136868E-02
   0.605093E-01  0.133705E-02
   0.640051E-01  0.130585E-02
   0.676674E-01  0.127515E-02
   0.715029E-01  0.124500E-02
   0.755182E-01  0.121526E-02
   0.797194E-01  0.118593E-02
   0.841122E-01  0.115703E-02
   0.887014E-01  0.112852E-02
   0.934910E-01  0.110034E-02
   0.984841E-01  0.107249E-02
   0.103683      0.104496E-02
   0.109087      0.101773E-02
   0.114697      0.990776E-03
   0.120509      0.964080E-03
   0.126522      0.937631E-03
   0.132730      0.911418E-03
   0.139128      0.885430E-03
   0.145709      0.859656E-03
   0.152466      0.834084E-03
   0.159391      0.808704E-03
   0.166475      0.783506E-03
   0.173710      0.758481E-03
   0.181086      0.733619E-03
   0.188597      0.708910E-03
   0.196233      0.684344E-03
   0.203986      0.659911E-03
   0.211850      0.635599E-03
   0.219816      0.611400E-03
   0.227878      0.587304E-03
   0.236031      0.563310E-03
   0.244267      0.539422E-03
   0.252583      0.515667E-03
   0.260974      0.492116E-03
   0.269434      0.468945E-03
   0.277962      0.446621E-03
   0.286553      0.426503E-03
   0.295204      0.414584E-03
   0.303913      0.983396E-03
   0.312677      0.430562E-02
   0.321497      0.630034E-02
   0.330370      0.672186E-02
   0.339297      0.654755E-02
   0.348277      0.629245E-02
   0.357313      0.606098E-02
   0.366406      0.586260E-02
   0.375560      0.568698E-02
   0.384782      0.552921E-02
   0.394077      0.537081E-02
   0.403461      0.519742E-02
   0.412938      0.506470E-02
   0.422492      0.495519E-02
   0.432115      0.485601E-02
   0.441798      0.476283E-02
   0.451532      0.467416E-02
   0.461312      0.458881E-02
   0.471133      0.450628E-02
   0.480990      0.442620E-02
   0.490878      0.434834E-02
   0.500795      0.427251E-02
   0.510737      0.419856E-02
   0.520703      0.412634E-02
   0.530689      0.405574E-02
   0.540694      0.398662E-02
   0.550716      0.391889E-02
   0.560754      0.385243E-02
   0.570805      0.378714E-02
   0.580869      0.372292E-02
   0.590944      0.365967E-02
   0.601028      0.359730E-02
   0.611122      0.353572E-02
   0.621224      0.347484E-02
   0.631332      0.341458E-02
   0.641445      0.335486E-02
   0.651563      0.329558E-02
   0.661685      0.323666E-02
   0.671809      0.317803E-02
   0.681935      0.311960E-02
   0.692061      0.306128E-02
   0.702187      0.300298E-02
   0.712311      0.294463E-02
   0.722433      0.288611E-02
   0.732550      0.282735E-02
   0.742662      0.276824E-02
   0.752767      0.270867E-02
   0.762864      0.264853E-02
   0.772950      0.258770E-02
   0.783024      0.252606E-02
   0.793082      0.246348E-02
   0.803122      0.239980E-02
   0.813139      0.233487E-02
   0.823130      0.226852E-02
   0.833089      0.220056E-02
   0.843009      0.213080E-02
   0.852881      0.205902E-02
   0.862696      0.198500E-02
   0.872441      0.190848E-02
   0.882101      0.182921E-02
   0.891660      0.174693E-02
   0.901095      0.166138E-02
   0.910384      0.157234E-02
   0.919500      0.147964E-02
   0.928413      0.138319E-02
   0.937092      0.128308E-02
   0.945507      0.117962E-02
   0.953628      0.107344E-02
   0.961428      0.965581E-03
   0.968886      0.857478E-03
   0.975986      0.750981E-03
   0.982719      0.648106E-03
   0.989083      0.551428E-03
   0.995083      0.461245E-03
    1.00000      0.400207E-03
    1.00010       0.00000    
    1.00525       0.00000    
    1.01086       0.00000    
    1.01698       0.00000    
    1.02365       0.00000    
    1.03091       0.00000    
    1.03882       0.00000    
    1.04744       0.00000    
    1.05683       0.00000    
    1.06706       0.00000    
    1.07820       0.00000    
    1.09034       0.00000    
    1.10356       0.00000    
    1.11796       0.00000    
    1.13364       0.00000    
    1.15073       0.00000    
    1.16934       0.00000    
    1.18961       0.00000    
    1.21168       0.00000    
    1.23573       0.00000    
    1.26192       0.00000    
    1.29044       0.00000    
    1.32151       0.00000    
    1.35534       0.00000    
    1.39220       0.00000    
    1.43233       0.00000    
    1.47604       0.00000    
    1.52365       0.00000    
    1.57549       0.00000    
    1.63196       0.00000    
    1.69345       0.00000    
    1.76042       0.00000    
    1.83335       0.00000    
    1.91277       0.00000    
    1.99927       0.00000    

   0.934166E-03  0.972121E-04
   0.129008E-02  0.324204E-03
   0.170851E-02  0.547171E-03
   0.219055E-02  0.762064E-03
   0.273710E-02  0.964068E-03
   0.334860E-02  0.115067E-02
   0.402521E-02  0.131738E-02
   0.476672E-02  0.146422E-02
   0.557277E-02  0.158782E-02
   0.644276E-02  0.169037E-02
   0.737605E-02  0.177018E-02
   0.837193E-02  0.183050E-02
   0.942976E-02  0.187121E-02
   0.105489E-01  0.189575E-02
   0.117290E-01  0.190482E-02
   0.129697E-01  0.190170E-02
   0.142709E-01  0.188716E-02
   0.156327E-01  0.186428E-02
   0.170556E-01  0.183337E-02
   0.185400E-01  0.179737E-02
   0.200870E-01  0.175596E-02
   0.216977E-01  0.171197E-02
   0.233734E-01  0.166447E-02
   0.251160E-01  0.161620E-02
   0.269274E-01  0.156575E-02
   0.288100E-01  0.151575E-02
   0.307664E-01  0.146450E-02
   0.327997E-01  0.141443E-02
   0.349133E-01  0.136385E-02
   0.371107E-01  0.131472E-02
   0.393963E-01  0.126572E-02
   0.417745E-01  0.121810E-02
   0.442503E-01  0.117124E-02
   0.468293E-01  0.112546E-02
   0.495175E-01  0.108095E-02
   0.523212E-01  0.103727E-02
   0.552477E-01  0.995053E-03
   0.583047E-01  0.953717E-03
   0.615004E-01  0.913596E-03
   0.648438E-01  0.874647E-03
   0.683446E-01  0.836648E-03
   0.720130E-01  0.799828E-03
   0.758600E-01  0.764046E-03
   0.798973E-01  0.729232E-03
   0.841369E-01  0.695467E-03
   0.885915E-01  0.662711E-03
   0.932740E-01  0.630899E-03
   0.981975E-01  0.600048E-03
