#  NACA 4417                                       
#  alpha =   5.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   8.0000
#
#    x           cf
   0.476672E-02  0.176594E-03
   0.402521E-02  0.405835E-03
   0.334860E-02  0.636009E-03
   0.273710E-02  0.886584E-03
   0.219055E-02  0.112758E-02
   0.170851E-02  0.137796E-02
   0.129008E-02  0.161440E-02
   0.934166E-03  0.184545E-02
   0.639178E-03  0.205997E-02
   0.403039E-03  0.225995E-02
   0.223492E-03  0.244049E-02
   0.983052E-04  0.260555E-02
   0.249266E-04  0.274952E-02
   0.279266E-07  0.288431E-02
   0.214136E-04  0.301190E-02
   0.894940E-04  0.312190E-02
   0.205926E-03  0.320894E-02
   0.371664E-03  0.327847E-02
   0.587159E-03  0.332997E-02
   0.853062E-03  0.336112E-02
   0.117003E-02  0.337770E-02
   0.153851E-02  0.337567E-02
   0.195874E-02  0.336100E-02
   0.243096E-02  0.333240E-02
   0.295545E-02  0.329268E-02
   0.353243E-02  0.324389E-02
   0.416216E-02  0.318633E-02
   0.484492E-02  0.312316E-02
   0.558107E-02  0.305441E-02
   0.637104E-02  0.298204E-02
   0.721537E-02  0.290735E-02
   0.811471E-02  0.283018E-02
   0.906980E-02  0.275335E-02
   0.100816E-01  0.267485E-02
   0.111511E-01  0.259846E-02
   0.122796E-01  0.252116E-02
   0.134684E-01  0.244689E-02
   0.147191E-01  0.237244E-02
   0.160334E-01  0.230136E-02
   0.174134E-01  0.223070E-02
   0.188611E-01  0.216345E-02
   0.203791E-01  0.209703E-02
   0.219698E-01  0.203390E-02
   0.236361E-01  0.197183E-02
   0.253812E-01  0.191288E-02
   0.272085E-01  0.185508E-02
   0.291215E-01  0.180017E-02
   0.311243E-01  0.174649E-02
   0.332211E-01  0.169533E-02
   0.354164E-01  0.164556E-02
   0.377151E-01  0.159779E-02
   0.401224E-01  0.155164E-02
   0.426437E-01  0.150696E-02
   0.452848E-01  0.146404E-02
   0.480519E-01  0.142225E-02
   0.509512E-01  0.138203E-02
   0.539893E-01  0.134299E-02
   0.571731E-01  0.130505E-02
   0.605093E-01  0.126836E-02
   0.640051E-01  0.123260E-02
   0.676674E-01  0.119777E-02
   0.715029E-01  0.116391E-02
   0.755182E-01  0.113082E-02
   0.797194E-01  0.109845E-02
   0.841122E-01  0.106680E-02
   0.887014E-01  0.103579E-02
   0.934910E-01  0.100534E-02
   0.984841E-01  0.975402E-03
   0.103683      0.945946E-03
   0.109087      0.916932E-03
   0.114697      0.888306E-03
   0.120509      0.860032E-03
   0.126522      0.832082E-03
   0.132730      0.804431E-03
   0.139128      0.777059E-03
