#  NACA 4417                                       
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   9.0000
#
#    x           cf
   0.214136E-04  0.117024E-03
   0.894940E-04  0.307717E-03
   0.205926E-03  0.494754E-03
   0.371664E-03  0.668041E-03
   0.587159E-03  0.834818E-03
   0.853062E-03  0.985224E-03
   0.117003E-02  0.112620E-02
   0.153851E-02  0.125120E-02
   0.195874E-02  0.136442E-02
   0.243096E-02  0.146314E-02
   0.295545E-02  0.154929E-02
   0.353243E-02  0.162294E-02
   0.416216E-02  0.168460E-02
   0.484492E-02  0.173572E-02
   0.558107E-02  0.177650E-02
   0.637104E-02  0.180831E-02
   0.721537E-02  0.183201E-02
   0.811471E-02  0.184800E-02
   0.906980E-02  0.185814E-02
   0.100816E-01  0.186168E-02
   0.111511E-01  0.186125E-02
   0.122796E-01  0.185535E-02
   0.134684E-01  0.184686E-02
   0.147191E-01  0.183399E-02
   0.160334E-01  0.181949E-02
   0.174134E-01  0.180161E-02
   0.188611E-01  0.178276E-02
   0.203791E-01  0.176135E-02
   0.219698E-01  0.173946E-02
   0.236361E-01  0.171564E-02
   0.253812E-01  0.169170E-02
   0.272085E-01  0.166632E-02
   0.291215E-01  0.164105E-02
   0.311243E-01  0.161476E-02
   0.332211E-01  0.158866E-02
   0.354164E-01  0.156197E-02
   0.377151E-01  0.153536E-02
   0.401224E-01  0.150861E-02
   0.426437E-01  0.148176E-02
   0.452848E-01  0.145513E-02
   0.480519E-01  0.142832E-02
   0.509512E-01  0.140180E-02
   0.539893E-01  0.137530E-02
   0.571731E-01  0.134888E-02
   0.605093E-01  0.132272E-02
   0.640051E-01  0.129661E-02
   0.676674E-01  0.127064E-02
   0.715029E-01  0.124489E-02
   0.755182E-01  0.121924E-02
   0.797194E-01  0.119373E-02
   0.841122E-01  0.116839E-02
   0.887014E-01  0.114320E-02
   0.934910E-01  0.111814E-02
   0.984841E-01  0.109321E-02
   0.103683      0.106842E-02
   0.109087      0.104377E-02
   0.114697      0.101925E-02
   0.120509      0.994853E-03
   0.126522      0.970587E-03
   0.132730      0.946450E-03
   0.139128      0.922443E-03
   0.145709      0.898565E-03
   0.152466      0.874814E-03
   0.159391      0.851190E-03
   0.166475      0.827689E-03
   0.173710      0.804312E-03
   0.181086      0.781053E-03
   0.188597      0.757910E-03
   0.196233      0.734877E-03
   0.203986      0.711948E-03
   0.211850      0.689115E-03
   0.219816      0.666369E-03
   0.227878      0.643698E-03
   0.236031      0.621090E-03
   0.244267      0.598529E-03
   0.252583      0.575999E-03
   0.260974      0.553480E-03
   0.269434      0.530947E-03
   0.277962      0.508373E-03
   0.286553      0.485728E-03
   0.295204      0.462975E-03
   0.303913      0.440073E-03
   0.312677      0.416976E-03
   0.321497      0.393639E-03
   0.330370      0.370024E-03
   0.339297      0.346132E-03
   0.348277      0.322081E-03
   0.357313      0.298246E-03
   0.366406      0.276484E-03
   0.375560      0.262621E-03
   0.384782      0.694610E-03
   0.394077      0.356857E-02
   0.403461      0.528119E-02
   0.412938      0.569277E-02
   0.422492      0.558061E-02
   0.432115      0.537388E-02
   0.441798      0.517772E-02
   0.451532      0.500939E-02
   0.461312      0.486585E-02
   0.471133      0.474138E-02
   0.480990      0.463091E-02
   0.490878      0.453072E-02
   0.500795      0.443823E-02
   0.510737      0.435164E-02
   0.520703      0.426971E-02
   0.530689      0.419155E-02
   0.540694      0.411653E-02
   0.550716      0.404417E-02
   0.560754      0.397410E-02
   0.570805      0.390602E-02
   0.580869      0.383970E-02
   0.590944      0.377492E-02
   0.601028      0.371151E-02
   0.611122      0.364931E-02
   0.621224      0.358819E-02
   0.631332      0.352800E-02
   0.641445      0.346864E-02
   0.651563      0.340998E-02
   0.661685      0.335193E-02
   0.671809      0.329436E-02
   0.681935      0.323720E-02
   0.692061      0.318032E-02
   0.702187      0.312364E-02
   0.712311      0.306706E-02
   0.722433      0.301047E-02
   0.732550      0.295378E-02
   0.742662      0.289688E-02
   0.752767      0.283966E-02
   0.762864      0.278200E-02
   0.772950      0.272380E-02
   0.783024      0.266491E-02
   0.793082      0.260522E-02
   0.803122      0.254457E-02
   0.813139      0.248282E-02
   0.823130      0.241979E-02
   0.833089      0.235530E-02
   0.843009      0.228917E-02
   0.852881      0.222118E-02
   0.862696      0.215110E-02
   0.872441      0.207868E-02
   0.882101      0.200365E-02
   0.891660      0.192574E-02
   0.901095      0.184462E-02
   0.910384      0.176000E-02
   0.919500      0.167154E-02
   0.928413      0.157896E-02
   0.937092      0.148199E-02
   0.945507      0.138050E-02
   0.953628      0.127449E-02
   0.961428      0.116428E-02
   0.968886      0.105058E-02
   0.975986      0.934658E-03
   0.982719      0.818263E-03
   0.989083      0.704564E-03
   0.995083      0.593795E-03
    1.00000      0.519295E-03
    1.00010       0.00000    
    1.00525       0.00000    
    1.01086       0.00000    
    1.01698       0.00000    
    1.02364       0.00000    
    1.03090       0.00000    
    1.03881       0.00000    
    1.04742       0.00000    
    1.05681       0.00000    
    1.06703       0.00000    
    1.07817       0.00000    
    1.09030       0.00000    
    1.10351       0.00000    
    1.11790       0.00000    
    1.13357       0.00000    
    1.15065       0.00000    
    1.16924       0.00000    
    1.18950       0.00000    
    1.21156       0.00000    
    1.23559       0.00000    
    1.26176       0.00000    
    1.29026       0.00000    
    1.32131       0.00000    
    1.35512       0.00000    
    1.39195       0.00000    
    1.43206       0.00000    
    1.47574       0.00000    
    1.52332       0.00000    
    1.57513       0.00000    
    1.63156       0.00000    
    1.69302       0.00000    
    1.75996       0.00000    
    1.83285       0.00000    
    1.91224       0.00000    
    1.99870       0.00000    

   0.279266E-07  0.814267E-04
   0.249266E-04  0.288552E-03
   0.983052E-04  0.501264E-03
   0.223492E-03  0.725239E-03
   0.403039E-03  0.948448E-03
   0.639178E-03  0.117488E-02
   0.934166E-03  0.139368E-02
   0.129008E-02  0.160558E-02
   0.170851E-02  0.180214E-02
   0.219055E-02  0.198251E-02
   0.273710E-02  0.213973E-02
   0.334860E-02  0.227505E-02
   0.402521E-02  0.238257E-02
   0.476672E-02  0.246625E-02
   0.557277E-02  0.252220E-02
   0.644276E-02  0.255575E-02
   0.737605E-02  0.256545E-02
   0.837193E-02  0.255663E-02
   0.942976E-02  0.252958E-02
   0.105489E-01  0.248903E-02
   0.117290E-01  0.243588E-02
   0.129697E-01  0.237421E-02
   0.142709E-01  0.230465E-02
   0.156327E-01  0.223076E-02
   0.170556E-01  0.215247E-02
   0.185400E-01  0.207305E-02
   0.200870E-01  0.199161E-02
   0.216977E-01  0.191123E-02
   0.233734E-01  0.183037E-02
   0.251160E-01  0.175195E-02
   0.269274E-01  0.167397E-02
   0.288100E-01  0.159919E-02
   0.307664E-01  0.152539E-02
   0.327997E-01  0.145507E-02
   0.349133E-01  0.138612E-02
   0.371107E-01  0.132052E-02
   0.393963E-01  0.125665E-02
   0.417745E-01  0.119569E-02
   0.442503E-01  0.113686E-02
