#  NACA 4417                                       
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   8.0000
#
#    x           cf
   0.214136E-04  0.114616E-03
   0.894940E-04  0.305377E-03
   0.205926E-03  0.492456E-03
   0.371664E-03  0.665820E-03
   0.587159E-03  0.832661E-03
   0.853062E-03  0.983148E-03
   0.117003E-02  0.112420E-02
   0.153851E-02  0.124929E-02
   0.195874E-02  0.136260E-02
   0.243096E-02  0.146140E-02
   0.295545E-02  0.154765E-02
   0.353243E-02  0.162138E-02
   0.416216E-02  0.168314E-02
   0.484492E-02  0.173434E-02
   0.558107E-02  0.177520E-02
   0.637104E-02  0.180709E-02
   0.721537E-02  0.183087E-02
   0.811471E-02  0.184693E-02
   0.906980E-02  0.185714E-02
   0.100816E-01  0.186074E-02
   0.111511E-01  0.186038E-02
   0.122796E-01  0.185453E-02
   0.134684E-01  0.184610E-02
   0.147191E-01  0.183328E-02
   0.160334E-01  0.181883E-02
   0.174134E-01  0.180099E-02
   0.188611E-01  0.178218E-02
   0.203791E-01  0.176081E-02
   0.219698E-01  0.173895E-02
   0.236361E-01  0.171517E-02
   0.253812E-01  0.169126E-02
   0.272085E-01  0.166591E-02
   0.291215E-01  0.164067E-02
   0.311243E-01  0.161441E-02
   0.332211E-01  0.158833E-02
   0.354164E-01  0.156165E-02
   0.377151E-01  0.153507E-02
   0.401224E-01  0.150834E-02
   0.426437E-01  0.148150E-02
   0.452848E-01  0.145489E-02
   0.480519E-01  0.142810E-02
   0.509512E-01  0.140159E-02
   0.539893E-01  0.137511E-02
   0.571731E-01  0.134870E-02
   0.605093E-01  0.132254E-02
   0.640051E-01  0.129644E-02
   0.676674E-01  0.127049E-02
   0.715029E-01  0.124474E-02
   0.755182E-01  0.121911E-02
   0.797194E-01  0.119360E-02
   0.841122E-01  0.116827E-02
   0.887014E-01  0.114309E-02
   0.934910E-01  0.111803E-02
   0.984841E-01  0.109310E-02
   0.103683      0.106832E-02
   0.109087      0.104367E-02
   0.114697      0.101916E-02
   0.120509      0.994765E-03
   0.126522      0.970502E-03
   0.132730      0.946368E-03
   0.139128      0.922364E-03
   0.145709      0.898488E-03
   0.152466      0.874740E-03
   0.159391      0.851117E-03
   0.166475      0.827619E-03
   0.173710      0.804242E-03
   0.181086      0.780985E-03
   0.188597      0.757844E-03
   0.196233      0.734812E-03
   0.203986      0.711884E-03
   0.211850      0.689053E-03
   0.219816      0.666308E-03
   0.227878      0.643640E-03
   0.236031      0.621035E-03
   0.244267      0.598479E-03
