#  NACA 4417                                       
#  alpha =   5.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.0000
#
#    x           cf
   0.476672E-02  0.169424E-03
   0.402521E-02  0.398262E-03
   0.334860E-02  0.628244E-03
   0.273710E-02  0.878579E-03
   0.219055E-02  0.111942E-02
   0.170851E-02  0.136973E-02
   0.129008E-02  0.160610E-02
   0.934166E-03  0.183722E-02
   0.639178E-03  0.205179E-02
   0.403039E-03  0.225192E-02
   0.223492E-03  0.243262E-02
   0.983052E-04  0.259787E-02
   0.249266E-04  0.274206E-02
   0.279266E-07  0.287706E-02
   0.214136E-04  0.300483E-02
   0.894940E-04  0.311505E-02
   0.205926E-03  0.320236E-02
   0.371664E-03  0.327219E-02
   0.587159E-03  0.332399E-02
   0.853062E-03  0.335547E-02
   0.117003E-02  0.337239E-02
   0.153851E-02  0.337070E-02
   0.195874E-02  0.335635E-02
   0.243096E-02  0.332809E-02
   0.295545E-02  0.328870E-02
   0.353243E-02  0.324022E-02
   0.416216E-02  0.318297E-02
   0.484492E-02  0.312008E-02
   0.558107E-02  0.305160E-02
   0.637104E-02  0.297949E-02
   0.721537E-02  0.290504E-02
   0.811471E-02  0.282810E-02
   0.906980E-02  0.275147E-02
   0.100816E-01  0.267317E-02
   0.111511E-01  0.259696E-02
   0.122796E-01  0.251982E-02
   0.134684E-01  0.244570E-02
   0.147191E-01  0.237139E-02
   0.160334E-01  0.230044E-02
   0.174134E-01  0.222990E-02
   0.188611E-01  0.216275E-02
   0.203791E-01  0.209642E-02
   0.219698E-01  0.203338E-02
   0.236361E-01  0.197138E-02
   0.253812E-01  0.191251E-02
   0.272085E-01  0.185477E-02
   0.291215E-01  0.179992E-02
   0.311243E-01  0.174629E-02
   0.332211E-01  0.169517E-02
   0.354164E-01  0.164543E-02
   0.377151E-01  0.159771E-02
   0.401224E-01  0.155158E-02
   0.426437E-01  0.150693E-02
   0.452848E-01  0.146403E-02
   0.480519E-01  0.142226E-02
   0.509512E-01  0.138205E-02
   0.539893E-01  0.134302E-02
   0.571731E-01  0.130509E-02
   0.605093E-01  0.126840E-02
   0.640051E-01  0.123265E-02
   0.676674E-01  0.119783E-02
   0.715029E-01  0.116396E-02
   0.755182E-01  0.113087E-02
   0.797194E-01  0.109850E-02
   0.841122E-01  0.106684E-02
   0.887014E-01  0.103583E-02
   0.934910E-01  0.100537E-02
   0.984841E-01  0.975425E-03
   0.103683      0.945963E-03
   0.109087      0.916944E-03
   0.114697      0.888317E-03
   0.120509      0.860048E-03
   0.126522      0.832113E-03
   0.132730      0.804497E-03
   0.139128      0.777192E-03
   0.145709      0.750216E-03
