#  NACA 4417                                       
#  alpha =   4.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.5000
#
#    x           cf
   0.334860E-02  0.309277E-04
   0.273710E-02  0.259587E-03
   0.219055E-02  0.491792E-03
   0.170851E-02  0.733206E-03
   0.129008E-02  0.966863E-03
   0.934166E-03  0.120103E-02
   0.639178E-03  0.142077E-02
   0.403039E-03  0.163186E-02
   0.223492E-03  0.182558E-02
   0.983052E-04  0.200635E-02
   0.249266E-04  0.216801E-02
   0.279266E-07  0.231977E-02
   0.214136E-04  0.246306E-02
   0.894940E-04  0.259129E-02
   0.205926E-03  0.270042E-02
   0.371664E-03  0.279382E-02
   0.587159E-03  0.287031E-02
   0.853062E-03  0.292789E-02
   0.117003E-02  0.297114E-02
   0.153851E-02  0.299638E-02
   0.195874E-02  0.300872E-02
   0.243096E-02  0.300684E-02
   0.295545E-02  0.299325E-02
   0.353243E-02  0.296968E-02
   0.416216E-02  0.293645E-02
   0.484492E-02  0.289641E-02
   0.558107E-02  0.284965E-02
   0.637104E-02  0.279802E-02
   0.721537E-02  0.274276E-02
   0.811471E-02  0.268383E-02
   0.906980E-02  0.262388E-02
   0.100816E-01  0.256118E-02
   0.111511E-01  0.249928E-02
   0.122796E-01  0.243547E-02
   0.134684E-01  0.237353E-02
   0.147191E-01  0.231049E-02
   0.160334E-01  0.224980E-02
   0.174134E-01  0.218873E-02
   0.188611E-01  0.213017E-02
   0.203791E-01  0.207173E-02
   0.219698E-01  0.201583E-02
   0.236361E-01  0.196037E-02
   0.253812E-01  0.190739E-02
   0.272085E-01  0.185503E-02
   0.291215E-01  0.180501E-02
   0.311243E-01  0.175578E-02
   0.332211E-01  0.170861E-02
   0.354164E-01  0.166243E-02
   0.377151E-01  0.161789E-02
   0.401224E-01  0.157464E-02
   0.426437E-01  0.153254E-02
   0.452848E-01  0.149193E-02
   0.480519E-01  0.145219E-02
   0.509512E-01  0.141379E-02
   0.539893E-01  0.137635E-02
   0.571731E-01  0.133984E-02
   0.605093E-01  0.130439E-02
   0.640051E-01  0.126973E-02
   0.676674E-01  0.123586E-02
   0.715029E-01  0.120283E-02
   0.755182E-01  0.117046E-02
