#  NACA 4417                                       
#  alpha =   4.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.0000
#
#    x           cf
   0.334860E-02  0.271733E-04
   0.273710E-02  0.255623E-03
   0.219055E-02  0.487885E-03
   0.170851E-02  0.729054E-03
   0.129008E-02  0.962866E-03
   0.934166E-03  0.119687E-02
   0.639178E-03  0.141675E-02
   0.403039E-03  0.162783E-02
   0.223492E-03  0.182165E-02
   0.983052E-04  0.200249E-02
   0.249266E-04  0.216425E-02
   0.279266E-07  0.231611E-02
   0.214136E-04  0.245948E-02
   0.894940E-04  0.258782E-02
   0.205926E-03  0.269708E-02
   0.371664E-03  0.279062E-02
   0.587159E-03  0.286726E-02
   0.853062E-03  0.292499E-02
   0.117003E-02  0.296840E-02
   0.153851E-02  0.299381E-02
   0.195874E-02  0.300630E-02
   0.243096E-02  0.300459E-02
   0.295545E-02  0.299115E-02
   0.353243E-02  0.296773E-02
   0.416216E-02  0.293465E-02
   0.484492E-02  0.289476E-02
   0.558107E-02  0.284813E-02
   0.637104E-02  0.279662E-02
   0.721537E-02  0.274148E-02
   0.811471E-02  0.268267E-02
   0.906980E-02  0.262283E-02
   0.100816E-01  0.256022E-02
   0.111511E-01  0.249841E-02
   0.122796E-01  0.243469E-02
   0.134684E-01  0.237282E-02
   0.147191E-01  0.230986E-02
   0.160334E-01  0.224923E-02
   0.174134E-01  0.218822E-02
   0.188611E-01  0.212971E-02
   0.203791E-01  0.207132E-02
   0.219698E-01  0.201547E-02
   0.236361E-01  0.196005E-02
   0.253812E-01  0.190710E-02
   0.272085E-01  0.185478E-02
   0.291215E-01  0.180480E-02
   0.311243E-01  0.175558E-02
   0.332211E-01  0.170844E-02
   0.354164E-01  0.166228E-02
   0.377151E-01  0.161777E-02
   0.401224E-01  0.157453E-02
   0.426437E-01  0.153245E-02
   0.452848E-01  0.149185E-02
   0.480519E-01  0.145213E-02
   0.509512E-01  0.141373E-02
   0.539893E-01  0.137631E-02
   0.571731E-01  0.133980E-02
   0.605093E-01  0.130436E-02
   0.640051E-01  0.126970E-02
   0.676674E-01  0.123584E-02
   0.715029E-01  0.120281E-02
   0.755182E-01  0.117045E-02
   0.797194E-01  0.113871E-02
   0.841122E-01  0.110762E-02
   0.887014E-01  0.107709E-02
   0.934910E-01  0.104705E-02
   0.984841E-01  0.101748E-02
   0.103683      0.988360E-03
   0.109087      0.959644E-03
   0.114697      0.931292E-03
   0.120509      0.903275E-03
   0.126522      0.875568E-03
   0.132730      0.848150E-03
   0.139128      0.820999E-03
   0.145709      0.794098E-03
   0.152466      0.767431E-03
   0.159391      0.740984E-03
   0.166475      0.714754E-03
   0.173710      0.688744E-03
   0.181086      0.662977E-03
   0.188597      0.637510E-03
   0.196233      0.612479E-03
   0.203986      0.588250E-03
   0.211850      0.565687E-03
   0.219816      0.549154E-03
   0.227878      0.555177E-03
   0.236031      0.405643E-02
   0.244267      0.693348E-02
   0.252583      0.773014E-02
   0.260974      0.756196E-02
   0.269434      0.726108E-02
   0.277962      0.699635E-02
   0.286553      0.677887E-02
   0.295204      0.659621E-02
   0.303913      0.643662E-02
   0.312677      0.629201E-02
   0.321497      0.615723E-02
