#  NACA 4417                                       
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.5000
#
#    x           cf
   0.214136E-04  0.113068E-03
   0.894940E-04  0.303872E-03
   0.205926E-03  0.490977E-03
   0.371664E-03  0.664391E-03
   0.587159E-03  0.831272E-03
   0.853062E-03  0.981811E-03
   0.117003E-02  0.112292E-02
   0.153851E-02  0.124806E-02
   0.195874E-02  0.136143E-02
   0.243096E-02  0.146029E-02
   0.295545E-02  0.154659E-02
   0.353243E-02  0.162038E-02
   0.416216E-02  0.168219E-02
   0.484492E-02  0.173344E-02
   0.558107E-02  0.177436E-02
   0.637104E-02  0.180630E-02
   0.721537E-02  0.183013E-02
   0.811471E-02  0.184624E-02
   0.906980E-02  0.185649E-02
   0.100816E-01  0.186014E-02
   0.111511E-01  0.185981E-02
   0.122796E-01  0.185400E-02
   0.134684E-01  0.184560E-02
   0.147191E-01  0.183281E-02
   0.160334E-01  0.181839E-02
   0.174134E-01  0.180058E-02
   0.188611E-01  0.178180E-02
   0.203791E-01  0.176046E-02
   0.219698E-01  0.173862E-02
   0.236361E-01  0.171486E-02
   0.253812E-01  0.169097E-02
   0.272085E-01  0.166564E-02
   0.291215E-01  0.164042E-02
   0.311243E-01  0.161417E-02
   0.332211E-01  0.158811E-02
   0.354164E-01  0.156145E-02
   0.377151E-01  0.153488E-02
   0.401224E-01  0.150816E-02
   0.426437E-01  0.148133E-02
   0.452848E-01  0.145474E-02
   0.480519E-01  0.142795E-02
   0.509512E-01  0.140145E-02
   0.539893E-01  0.137498E-02
   0.571731E-01  0.134857E-02
   0.605093E-01  0.132243E-02
   0.640051E-01  0.129634E-02
   0.676674E-01  0.127038E-02
   0.715029E-01  0.124465E-02
   0.755182E-01  0.121902E-02
   0.797194E-01  0.119352E-02
   0.841122E-01  0.116819E-02
   0.887014E-01  0.114301E-02
   0.934910E-01  0.111796E-02
   0.984841E-01  0.109303E-02
   0.103683      0.106825E-02
   0.109087      0.104361E-02
   0.114697      0.101909E-02
   0.120509      0.994705E-03
   0.126522      0.970444E-03
   0.132730      0.946312E-03
   0.139128      0.922309E-03
   0.145709      0.898434E-03
   0.152466      0.874687E-03
   0.159391      0.851065E-03
   0.166475      0.827568E-03
   0.173710      0.804192E-03
   0.181086      0.780935E-03
   0.188597      0.757794E-03
   0.196233      0.734763E-03
   0.203986      0.711835E-03
   0.211850      0.689004E-03
   0.219816      0.666260E-03
   0.227878      0.643592E-03
   0.236031      0.620988E-03
   0.244267      0.598434E-03
   0.252583      0.575913E-03
   0.260974      0.553407E-03
   0.269434      0.530894E-03
   0.277962      0.508352E-03
   0.286553      0.485756E-03
   0.295204      0.463081E-03
   0.303913      0.440304E-03
   0.312677      0.417419E-03
   0.321497      0.394458E-03
   0.330370      0.371547E-03
   0.339297      0.349113E-03
   0.348277      0.328470E-03
   0.357313      0.315287E-03
   0.366406      0.741433E-03
   0.375560      0.362973E-02
   0.384782      0.544384E-02
   0.394077      0.586674E-02
   0.403461      0.569744E-02
   0.412938      0.547037E-02
   0.422492      0.527039E-02
   0.432115      0.510101E-02
   0.441798      0.495662E-02
   0.451532      0.483122E-02
   0.461312      0.471950E-02
   0.471133      0.461788E-02
   0.480990      0.452387E-02
   0.490878      0.443576E-02
   0.500795      0.435236E-02
   0.510737      0.427284E-02
   0.520703      0.419658E-02
   0.530689      0.412310E-02
   0.540694      0.405205E-02
   0.550716      0.398311E-02
   0.560754      0.391605E-02
   0.570805      0.385066E-02
   0.580869      0.378676E-02
   0.590944      0.372417E-02
   0.601028      0.366277E-02
   0.611122      0.360242E-02
   0.621224      0.354299E-02
   0.631332      0.348438E-02
   0.641445      0.342647E-02
   0.651563      0.336917E-02
   0.661685      0.331237E-02
   0.671809      0.325598E-02
   0.681935      0.319990E-02
   0.692061      0.314405E-02
   0.702187      0.308833E-02
   0.712311      0.303264E-02
   0.722433      0.297689E-02
   0.732550      0.292098E-02
   0.742662      0.286481E-02
   0.752767      0.280827E-02
   0.762864      0.275125E-02
   0.772950      0.269365E-02
   0.783024      0.263532E-02
   0.793082      0.257615E-02
   0.803122      0.251599E-02
   0.813139      0.245468E-02
   0.823130      0.239207E-02
   0.833089      0.232797E-02
   0.843009      0.226220E-02
   0.852881      0.219453E-02
   0.862696      0.212475E-02
   0.872441      0.205261E-02
   0.882101      0.197784E-02
   0.891660      0.190016E-02
   0.901095      0.181927E-02
   0.910384      0.173487E-02
   0.919500      0.164665E-02
   0.928413      0.155434E-02
   0.937092      0.145772E-02
   0.945507      0.135669E-02
   0.953628      0.125133E-02
   0.961428      0.114203E-02
   0.968886      0.102959E-02
   0.975986      0.915340E-03
   0.982719      0.801073E-03
   0.989083      0.689879E-03
   0.995083      0.582011E-03
    1.00000      0.509452E-03
    1.00010       0.00000    
    1.00525       0.00000    
    1.01086       0.00000    
    1.01698       0.00000    
    1.02364       0.00000    
    1.03090       0.00000    
    1.03881       0.00000    
    1.04742       0.00000    
    1.05681       0.00000    
    1.06703       0.00000    
    1.07817       0.00000    
    1.09030       0.00000    
    1.10351       0.00000    
    1.11790       0.00000    
    1.13357       0.00000    
    1.15065       0.00000    
    1.16924       0.00000    
    1.18950       0.00000    
    1.21156       0.00000    
    1.23559       0.00000    
    1.26176       0.00000    
    1.29026       0.00000    
    1.32131       0.00000    
    1.35512       0.00000    
    1.39195       0.00000    
    1.43206       0.00000    
    1.47574       0.00000    
    1.52332       0.00000    
    1.57513       0.00000    
    1.63156       0.00000    
    1.69302       0.00000    
    1.75996       0.00000    
    1.83285       0.00000    
    1.91224       0.00000    
    1.99870       0.00000    

   0.279266E-07  0.854166E-04
   0.249266E-04  0.292640E-03
   0.983052E-04  0.505372E-03
   0.223492E-03  0.729409E-03
   0.403039E-03  0.952606E-03
   0.639178E-03  0.117903E-02
   0.934166E-03  0.139778E-02
   0.129008E-02  0.160961E-02
   0.170851E-02  0.180606E-02
   0.219055E-02  0.198629E-02
   0.273710E-02  0.214335E-02
   0.334860E-02  0.227848E-02
   0.402521E-02  0.238579E-02
   0.476672E-02  0.246925E-02
   0.557277E-02  0.252497E-02
   0.644276E-02  0.255829E-02
   0.737605E-02  0.256775E-02
   0.837193E-02  0.255871E-02
   0.942976E-02  0.253144E-02
   0.105489E-01  0.249068E-02
   0.117290E-01  0.243733E-02
   0.129697E-01  0.237547E-02
   0.142709E-01  0.230573E-02
   0.156327E-01  0.223168E-02
   0.170556E-01  0.215325E-02
   0.185400E-01  0.207369E-02
   0.200870E-01  0.199213E-02
   0.216977E-01  0.191164E-02
   0.233734E-01  0.183068E-02
