#  NACA 4417                                       
#  alpha =   5.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   9.0000
#
#    x           cf
   0.476672E-02  0.182979E-03
   0.402521E-02  0.412642E-03
   0.334860E-02  0.642834E-03
   0.273710E-02  0.893887E-03
   0.219055E-02  0.113466E-02
   0.170851E-02  0.138552E-02
   0.129008E-02  0.162161E-02
   0.934166E-03  0.185297E-02
   0.639178E-03  0.206717E-02
   0.403039E-03  0.226720E-02
   0.223492E-03  0.244750E-02
   0.983052E-04  0.261244E-02
   0.249266E-04  0.275619E-02
   0.279266E-07  0.289081E-02
   0.214136E-04  0.301823E-02
   0.894940E-04  0.312803E-02
   0.205926E-03  0.321483E-02
   0.371664E-03  0.328410E-02
   0.587159E-03  0.333532E-02
   0.853062E-03  0.336618E-02
   0.117003E-02  0.338247E-02
   0.153851E-02  0.338014E-02
   0.195874E-02  0.336516E-02
   0.243096E-02  0.333627E-02
   0.295545E-02  0.329626E-02
   0.353243E-02  0.324719E-02
   0.416216E-02  0.318936E-02
   0.484492E-02  0.312593E-02
   0.558107E-02  0.305694E-02
   0.637104E-02  0.298434E-02
   0.721537E-02  0.290943E-02
   0.811471E-02  0.283206E-02
   0.906980E-02  0.275504E-02
   0.100816E-01  0.267637E-02
   0.111511E-01  0.259982E-02
   0.122796E-01  0.252237E-02
   0.134684E-01  0.244796E-02
   0.147191E-01  0.237338E-02
   0.160334E-01  0.230219E-02
   0.174134E-01  0.223143E-02
   0.188611E-01  0.216408E-02
   0.203791E-01  0.209758E-02
   0.219698E-01  0.203437E-02
   0.236361E-01  0.197223E-02
   0.253812E-01  0.191322E-02
   0.272085E-01  0.185537E-02
   0.291215E-01  0.180041E-02
   0.311243E-01  0.174668E-02
   0.332211E-01  0.169548E-02
   0.354164E-01  0.164567E-02
   0.377151E-01  0.159788E-02
   0.401224E-01  0.155170E-02
   0.426437E-01  0.150699E-02
   0.452848E-01  0.146405E-02
   0.480519E-01  0.142225E-02
   0.509512E-01  0.138201E-02
   0.539893E-01  0.134296E-02
   0.571731E-01  0.130501E-02
   0.605093E-01  0.126832E-02
   0.640051E-01  0.123255E-02
   0.676674E-01  0.119773E-02
   0.715029E-01  0.116386E-02
   0.755182E-01  0.113077E-02
   0.797194E-01  0.109841E-02
   0.841122E-01  0.106676E-02
   0.887014E-01  0.103575E-02
   0.934910E-01  0.100530E-02
   0.984841E-01  0.975373E-03
   0.103683      0.945923E-03
   0.109087      0.916915E-03
   0.114697      0.888293E-03
   0.120509      0.860022E-03
   0.126522      0.832071E-03
   0.132730      0.804413E-03
   0.139128      0.777022E-03
   0.145709      0.749879E-03
   0.152466      0.722966E-03
   0.159391      0.696273E-03
   0.166475      0.669802E-03
   0.173710      0.643578E-03
   0.181086      0.617662E-03
   0.188597      0.592200E-03
   0.196233      0.567578E-03
   0.203986      0.544712E-03
   0.211850      0.527869E-03
   0.219816      0.533129E-03
   0.227878      0.336359E-02
   0.236031      0.688345E-02
   0.244267      0.804954E-02
   0.252583      0.794290E-02
   0.260974      0.761983E-02
   0.269434      0.732597E-02
   0.277962      0.708449E-02
   0.286553      0.688333E-02
   0.295204      0.670925E-02
   0.303913      0.655287E-02
   0.312677      0.640815E-02
   0.321497      0.627131E-02
   0.330370      0.613989E-02
   0.339297      0.601221E-02
   0.348277      0.588705E-02
   0.357313      0.576319E-02
   0.366406      0.564011E-02
   0.375560      0.551478E-02
   0.384782      0.538947E-02
   0.394077      0.525248E-02
   0.403461      0.509393E-02
   0.412938      0.496670E-02
   0.422492      0.485949E-02
   0.432115      0.476207E-02
   0.441798      0.467066E-02
   0.451532      0.458375E-02
   0.461312      0.450007E-02
   0.471133      0.441898E-02
   0.480990      0.434000E-02
   0.490878      0.426281E-02
   0.500795      0.418718E-02
   0.510737      0.411296E-02
   0.520703      0.404000E-02
   0.530689      0.396820E-02
   0.540694      0.389747E-02
   0.550716      0.382774E-02
   0.560754      0.375892E-02
   0.570805      0.369095E-02
   0.580869      0.362376E-02
   0.590944      0.355729E-02
   0.601028      0.349146E-02
   0.611122      0.342622E-02
   0.621224      0.336149E-02
   0.631332      0.329721E-02
   0.641445      0.323331E-02
   0.651563      0.316973E-02
   0.661685      0.310638E-02
   0.671809      0.304320E-02
   0.681935      0.298010E-02
   0.692061      0.291701E-02
   0.702187      0.285385E-02
   0.712311      0.279052E-02
   0.722433      0.272693E-02
   0.732550      0.266299E-02
   0.742662      0.259860E-02
   0.752767      0.253364E-02
   0.762864      0.246799E-02
   0.772950      0.240154E-02
   0.783024      0.233415E-02
   0.793082      0.226567E-02
   0.803122      0.219595E-02
   0.813139      0.212483E-02
   0.823130      0.205211E-02
   0.833089      0.197762E-02
   0.843009      0.190115E-02
   0.852881      0.182248E-02
   0.862696      0.174141E-02
   0.872441      0.165772E-02
   0.882101      0.157122E-02
   0.891660      0.148178E-02
   0.901095      0.138930E-02
   0.910384      0.129384E-02
   0.919500      0.119563E-02
   0.928413      0.109513E-02
   0.937092      0.993108E-03
   0.945507      0.890667E-03
   0.953628      0.789236E-03
   0.961428      0.690484E-03
   0.968886      0.596166E-03
   0.975986      0.507938E-03
   0.982719      0.427165E-03
   0.989083      0.354972E-03
   0.995083      0.291065E-03
    1.00000      0.247460E-03
    1.00010       0.00000    
    1.00525       0.00000    
    1.01086       0.00000    
    1.01698       0.00000    
    1.02365       0.00000    
    1.03092       0.00000    
    1.03884       0.00000    
    1.04746       0.00000    
    1.05686       0.00000    
    1.06710       0.00000    
    1.07825       0.00000    
    1.09039       0.00000    
    1.10363       0.00000    
    1.11804       0.00000    
    1.13374       0.00000    
    1.15084       0.00000    
    1.16946       0.00000    
    1.18974       0.00000    
    1.21184       0.00000    
    1.23590       0.00000    
    1.26211       0.00000    
    1.29065       0.00000    
    1.32174       0.00000    
    1.35559       0.00000    
    1.39246       0.00000    
    1.43262       0.00000    
    1.47634       0.00000    
