#  NACA 4417                                       
#  alpha =   4.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   8.5000
#
#    x           cf
   0.334860E-02  0.372944E-04
   0.273710E-02  0.266298E-03
   0.219055E-02  0.498441E-03
   0.170851E-02  0.740218E-03
   0.129008E-02  0.973672E-03
   0.934166E-03  0.120805E-02
   0.639178E-03  0.142760E-02
   0.403039E-03  0.163870E-02
   0.223492E-03  0.183224E-02
   0.983052E-04  0.201290E-02
   0.249266E-04  0.217438E-02
   0.279266E-07  0.232599E-02
   0.214136E-04  0.246912E-02
   0.894940E-04  0.259717E-02
   0.205926E-03  0.270608E-02
   0.371664E-03  0.279926E-02
   0.587159E-03  0.287549E-02
   0.853062E-03  0.293281E-02
   0.117003E-02  0.297579E-02
   0.153851E-02  0.300076E-02
   0.195874E-02  0.301282E-02
   0.243096E-02  0.301067E-02
   0.295545E-02  0.299680E-02
   0.353243E-02  0.297298E-02
   0.416216E-02  0.293949E-02
   0.484492E-02  0.289922E-02
   0.558107E-02  0.285223E-02
   0.637104E-02  0.280038E-02
   0.721537E-02  0.274492E-02
   0.811471E-02  0.268580E-02
   0.906980E-02  0.262568E-02
   0.100816E-01  0.256280E-02
   0.111511E-01  0.250075E-02
   0.122796E-01  0.243681E-02
   0.134684E-01  0.237473E-02
   0.147191E-01  0.231157E-02
   0.160334E-01  0.225077E-02
   0.174134E-01  0.218960E-02
   0.188611E-01  0.213094E-02
   0.203791E-01  0.207242E-02
   0.219698E-01  0.201644E-02
   0.236361E-01  0.196091E-02
   0.253812E-01  0.190787E-02
   0.272085E-01  0.185545E-02
   0.291215E-01  0.180538E-02
   0.311243E-01  0.175610E-02
   0.332211E-01  0.170889E-02
   0.354164E-01  0.166267E-02
   0.377151E-01  0.161810E-02
   0.401224E-01  0.157481E-02
   0.426437E-01  0.153269E-02
   0.452848E-01  0.149205E-02
   0.480519E-01  0.145230E-02
   0.509512E-01  0.141388E-02
   0.539893E-01  0.137642E-02
   0.571731E-01  0.133989E-02
   0.605093E-01  0.130444E-02
   0.640051E-01  0.126976E-02
   0.676674E-01  0.123589E-02
   0.715029E-01  0.120285E-02
   0.755182E-01  0.117048E-02
   0.797194E-01  0.113875E-02
   0.841122E-01  0.110764E-02
   0.887014E-01  0.107711E-02
   0.934910E-01  0.104708E-02
   0.984841E-01  0.101752E-02
   0.103683      0.988395E-03
   0.109087      0.959684E-03
   0.114697      0.931338E-03
   0.120509      0.903327E-03
   0.126522      0.875626E-03
   0.132730      0.848212E-03
   0.139128      0.821064E-03
   0.145709      0.794161E-03
   0.152466      0.767485E-03
   0.159391      0.741017E-03
   0.166475      0.714743E-03
   0.173710      0.688652E-03
   0.181086      0.662736E-03
   0.188597      0.636990E-03
   0.196233      0.611420E-03
   0.203986      0.586052E-03
   0.211850      0.560947E-03
   0.219816      0.536248E-03
   0.227878      0.512326E-03
   0.236031      0.490072E-03
   0.244267      0.473490E-03
   0.252583      0.477582E-03
   0.260974      0.299360E-02
   0.269434      0.633729E-02
   0.277962      0.750874E-02
   0.286553      0.744970E-02
   0.295204      0.715535E-02
   0.303913      0.687701E-02
   0.312677      0.664446E-02
   0.321497      0.644911E-02
   0.330370      0.627924E-02
   0.339297      0.612602E-02
   0.348277      0.598350E-02
   0.357313      0.584755E-02
   0.366406      0.571587E-02
   0.375560      0.558428E-02
   0.384782      0.545459E-02
   0.394077      0.531425E-02
   0.403461      0.515266E-02
   0.412938      0.502478E-02
   0.422492      0.491766E-02
   0.432115      0.482029E-02
   0.441798      0.472873E-02
   0.451532      0.464151E-02
   0.461312      0.455740E-02
   0.471133      0.447581E-02
   0.480990      0.439633E-02
   0.490878      0.431868E-02
   0.500795      0.424267E-02
   0.510737      0.416817E-02
   0.520703      0.409505E-02
   0.530689      0.402321E-02
   0.540694      0.395257E-02
   0.550716      0.388305E-02
   0.560754      0.381456E-02
   0.570805      0.374704E-02
   0.580869      0.368040E-02
   0.590944      0.361458E-02
   0.601028      0.354951E-02
   0.611122      0.348510E-02
   0.621224      0.342130E-02
   0.631332      0.335801E-02
   0.641445      0.329518E-02
   0.651563      0.323273E-02
   0.661685      0.317058E-02
   0.671809      0.310865E-02
   0.681935      0.304686E-02
   0.692061      0.298514E-02
   0.702187      0.292339E-02
   0.712311      0.286152E-02
   0.722433      0.279945E-02
   0.732550      0.273708E-02
   0.742662      0.267431E-02
   0.752767      0.261102E-02
   0.762864      0.254710E-02
   0.772950      0.248243E-02
   0.783024      0.241688E-02
   0.793082      0.235031E-02
   0.803122      0.228256E-02
   0.813139      0.221346E-02
   0.823130      0.214286E-02
   0.833089      0.207054E-02
   0.843009      0.199631E-02
   0.852881      0.191995E-02
   0.862696      0.184124E-02
   0.872441      0.175994E-02
   0.882101      0.167583E-02
   0.891660      0.158869E-02
   0.901095      0.149836E-02
   0.910384      0.140476E-02
   0.919500      0.130792E-02
   0.928413      0.120807E-02
   0.937092      0.110569E-02
   0.945507      0.100159E-02
   0.953628      0.896957E-03
   0.961428      0.793311E-03
   0.968886      0.692434E-03
   0.975986      0.596209E-03
   0.982719      0.506351E-03
   0.989083      0.424529E-03
   0.995083      0.350974E-03
    1.00000      0.300901E-03
    1.00010       0.00000    
    1.00525       0.00000    
    1.01086       0.00000    
    1.01698       0.00000    
    1.02365       0.00000    
    1.03092       0.00000    
    1.03883       0.00000    
    1.04746       0.00000    
    1.05685       0.00000    
    1.06708       0.00000    
    1.07823       0.00000    
    1.09038       0.00000    
    1.10360       0.00000    
    1.11801       0.00000    
    1.13371       0.00000    
    1.15080       0.00000    
    1.16942       0.00000    
    1.18970       0.00000    
    1.21179       0.00000    
    1.23585       0.00000    
    1.26205       0.00000    
    1.29059       0.00000    
    1.32167       0.00000    
    1.35552       0.00000    
    1.39239       0.00000    
    1.43254       0.00000    
    1.47626       0.00000    
    1.52388       0.00000    
    1.57574       0.00000    
    1.63221       0.00000    
    1.69371       0.00000    
    1.76069       0.00000    
    1.83362       0.00000    
    1.91304       0.00000    
    1.99952       0.00000    

   0.402521E-02  0.179785E-03
   0.476672E-02  0.377292E-03
   0.557277E-02  0.565503E-03
   0.644276E-02  0.725246E-03
   0.737605E-02  0.874066E-03
   0.837193E-02  0.995664E-03
   0.942976E-02  0.110283E-02
   0.105489E-01  0.118872E-02
   0.117290E-01  0.125890E-02
   0.129697E-01  0.131320E-02
   0.142709E-01  0.135351E-02
   0.156327E-01  0.138192E-02
   0.170556E-01  0.139917E-02
   0.185400E-01  0.140777E-02
   0.200870E-01  0.140788E-02
   0.216977E-01  0.140202E-02
   0.233734E-01  0.138983E-02
   0.251160E-01  0.137381E-02
   0.269274E-01  0.135312E-02
   0.288100E-01  0.133019E-02
   0.307664E-01  0.130388E-02
   0.327997E-01  0.127644E-02
   0.349133E-01  0.124664E-02
   0.371107E-01  0.121636E-02
   0.393963E-01  0.118464E-02
   0.417745E-01  0.115270E-02
   0.442503E-01  0.112014E-02
   0.468293E-01  0.108739E-02
   0.495175E-01  0.105470E-02
   0.523212E-01  0.102180E-02
   0.552477E-01  0.989341E-03
   0.583047E-01  0.956872E-03
   0.615004E-01  0.924788E-03
   0.648438E-01  0.893101E-03
   0.683446E-01  0.861678E-03
   0.720130E-01  0.830784E-03
   0.758600E-01  0.800332E-03
   0.798973E-01  0.770311E-03
   0.841369E-01  0.740834E-03
   0.885915E-01  0.711902E-03
   0.932740E-01  0.683488E-03
   0.981975E-01  0.655642E-03
   0.103375      0.628401E-03
   0.108819      0.601782E-03
   0.114541      0.575799E-03
   0.120553      0.550485E-03
   0.126862      0.525875E-03
   0.133477      0.502000E-03
   0.140401      0.478896E-03
   0.147636      0.456594E-03
   0.155181      0.435127E-03
   0.163032      0.414527E-03
   0.171181      0.394820E-03
   0.179618      0.376029E-03
   0.188331      0.358173E-03
   0.197305      0.341263E-03
   0.206525      0.325308E-03
   0.215975      0.310311E-03
   0.225637      0.296272E-03
   0.235496      0.283189E-03
   0.245536      0.271060E-03
   0.255741      0.259884E-03
   0.266096      0.249670E-03
   0.276589      0.240438E-03
   0.287205      0.232238E-03
   0.297934      0.225184E-03
   0.308761      0.219555E-03
   0.319676      0.216338E-03
   0.330666      0.219500E-03
   0.341717      0.663817E-03
   0.352814      0.213015E-02
   0.363939      0.286935E-02
