#      x          Cp  
     1.00000    0.31377
     0.99221    0.15987
     0.98052    0.11461
     0.96698    0.07850
     0.95276    0.05155
     0.93836    0.02957
     0.92391    0.01086
     0.90944   -0.00563
     0.89497   -0.02050
     0.88049   -0.03417
     0.86601   -0.04690
     0.85153   -0.05890
     0.83704   -0.07030
     0.82256   -0.08122
     0.80807   -0.09176
     0.79358   -0.10198
     0.77908   -0.11195
     0.76459   -0.12171
     0.75010   -0.13131
     0.73560   -0.14080
     0.72110   -0.15019
     0.70661   -0.15951
     0.69211   -0.16881
     0.67762   -0.17809
     0.66312   -0.18739
     0.64863   -0.19671
     0.63413   -0.20609
     0.61964   -0.21553
     0.60515   -0.22505
     0.59066   -0.23467
     0.57617   -0.24441
     0.56169   -0.25427
     0.54721   -0.26428
     0.53273   -0.27445
     0.51825   -0.28479
     0.50378   -0.29531
     0.48931   -0.30604
     0.47485   -0.31699
     0.46039   -0.32817
     0.44594   -0.33960
     0.43149   -0.35131
     0.41705   -0.36330
     0.40262   -0.37560
     0.38819   -0.38824
     0.37378   -0.40124
     0.35937   -0.41463
     0.34497   -0.42844
     0.33059   -0.44271
     0.31621   -0.45748
     0.30185   -0.47281
     0.28751   -0.48874
     0.27318   -0.50535
     0.25888   -0.52272
     0.24459   -0.54094
     0.23033   -0.56013
     0.21609   -0.58043
     0.20189   -0.60201
     0.18773   -0.62510
     0.17361   -0.64996
     0.15955   -0.67696
     0.14554   -0.70654
     0.13162   -0.73933
     0.11779   -0.77613
     0.10409   -0.81807
     0.09056   -0.86673
     0.07727   -0.92434
     0.06433   -0.99403
     0.05198   -1.07991
     0.04062   -1.18620
     0.03079   -1.31444
     0.02290   -1.46096
     0.01687   -1.61903
     0.01231   -1.78280
     0.00882   -1.94726
     0.00612   -2.10234
     0.00401   -2.22778
     0.00238   -2.27833
     0.00119   -2.17216
     0.00041   -1.80702
     0.00004   -1.16898
     0.00004   -0.44526
     0.00041    0.22894
     0.00119    0.69708
     0.00238    0.92956
     0.00401    0.99884
     0.00612    0.97722
     0.00882    0.90952
     0.01231    0.81959
     0.01687    0.71972
     0.02290    0.61720
     0.03079    0.51853
     0.04062    0.43036
     0.05198    0.35677
     0.06433    0.29758
     0.07727    0.25025
     0.09056    0.21203
     0.10409    0.18075
     0.11779    0.15480
     0.13162    0.13303
     0.14554    0.11460
     0.15955    0.09887
     0.17361    0.08538
     0.18773    0.07374
     0.20189    0.06369
     0.21609    0.05497
     0.23033    0.04740
     0.24459    0.04084
     0.25888    0.03514
     0.27318    0.03021
     0.28751    0.02595
     0.30185    0.02228
     0.31621    0.01915
     0.33059    0.01648
     0.34497    0.01423
     0.35937    0.01236
     0.37378    0.01082
     0.38819    0.00959
     0.40262    0.00863
     0.41705    0.00792
     0.43149    0.00743
     0.44594    0.00714
     0.46039    0.00704
     0.47485    0.00710
     0.48931    0.00732
     0.50378    0.00768
     0.51825    0.00817
     0.53273    0.00878
     0.54721    0.00950
     0.56169    0.01033
     0.57617    0.01126
     0.59066    0.01229
     0.60515    0.01341
     0.61964    0.01463
     0.63413    0.01594
     0.64863    0.01734
     0.66312    0.01884
     0.67762    0.02045
     0.69211    0.02216
     0.70661    0.02398
     0.72110    0.02593
     0.73560    0.02802
     0.75010    0.03026
     0.76459    0.03266
     0.77908    0.03526
     0.79358    0.03808
     0.80807    0.04114
     0.82256    0.04450
     0.83704    0.04820
     0.85153    0.05230
     0.86601    0.05688
     0.88049    0.06207
     0.89497    0.06799
     0.90944    0.07487
     0.92391    0.08302
     0.93836    0.09294
     0.95276    0.10547
     0.96698    0.12215
     0.98052    0.14655
     0.99221    0.18036
     1.00000    0.31377
