#      x          Cp  
     1.00000    0.31565
     0.99221    0.15959
     0.98052    0.11300
     0.96698    0.07548
     0.95276    0.04728
     0.93836    0.02415
     0.92391    0.00434
     0.90944   -0.01319
     0.89497   -0.02907
     0.88049   -0.04372
     0.86601   -0.05741
     0.85153   -0.07035
     0.83704   -0.08269
     0.82256   -0.09455
     0.80807   -0.10602
     0.79358   -0.11717
     0.77908   -0.12807
     0.76459   -0.13877
     0.75010   -0.14932
     0.73560   -0.15976
     0.72110   -0.17012
     0.70661   -0.18043
     0.69211   -0.19072
     0.67762   -0.20101
     0.66312   -0.21134
     0.64863   -0.22172
     0.63413   -0.23217
     0.61964   -0.24271
     0.60515   -0.25337
     0.59066   -0.26415
     0.57617   -0.27508
     0.56169   -0.28617
     0.54721   -0.29745
     0.53273   -0.30892
     0.51825   -0.32062
     0.50378   -0.33254
     0.48931   -0.34473
     0.47485   -0.35718
     0.46039   -0.36993
     0.44594   -0.38300
     0.43149   -0.39642
     0.41705   -0.41020
     0.40262   -0.42437
     0.38819   -0.43898
     0.37378   -0.45404
     0.35937   -0.46961
     0.34497   -0.48573
     0.33059   -0.50244
     0.31621   -0.51980
     0.30185   -0.53789
     0.28751   -0.55678
     0.27318   -0.57655
     0.25888   -0.59733
     0.24459   -0.61924
     0.23033   -0.64244
     0.21609   -0.66711
     0.20189   -0.69350
     0.18773   -0.72191
     0.17361   -0.75270
     0.15955   -0.78636
     0.14554   -0.82351
     0.13162   -0.86499
     0.11779   -0.91192
     0.10409   -0.96585
     0.09056   -1.02899
     0.07727   -1.10446
     0.06433   -1.19675
     0.05198   -1.31188
     0.04062   -1.45650
     0.03079   -1.63414
     0.02290   -1.84167
     0.01687   -2.07186
     0.01231   -2.31899
     0.00882   -2.57953
     0.00612   -2.84503
     0.00401   -3.09540
     0.00238   -3.27854
     0.00119   -3.28894
     0.00041   -2.97336
     0.00004   -2.26223
     0.00004   -1.35922
     0.00041   -0.43306
     0.00119    0.29105
     0.00238    0.72398
     0.00401    0.93049
     0.00612    0.99738
     0.00882    0.98492
     0.01231    0.92805
     0.01687    0.84623
     0.02290    0.75127
     0.03079    0.65289
     0.04062    0.56051
     0.05198    0.48068
     0.06433    0.41481
     0.07727    0.36109
     0.09056    0.31700
     0.10409    0.28038
     0.11779    0.24961
     0.13162    0.22346
     0.14554    0.20104
     0.15955    0.18165
     0.17361    0.16479
     0.18773    0.15005
     0.20189    0.13710
     0.21609    0.12568
     0.23033    0.11559
     0.24459    0.10665
     0.25888    0.09872
     0.27318    0.09167
     0.28751    0.08541
     0.30185    0.07984
     0.31621    0.07490
     0.33059    0.07050
     0.34497    0.06660
     0.35937    0.06315
     0.37378    0.06009
     0.38819    0.05740
     0.40262    0.05504
     0.41705    0.05298
     0.43149    0.05118
     0.44594    0.04963
     0.46039    0.04831
     0.47485    0.04719
     0.48931    0.04626
     0.50378    0.04550
     0.51825    0.04490
     0.53273    0.04446
     0.54721    0.04415
     0.56169    0.04397
     0.57617    0.04392
     0.59066    0.04398
     0.60515    0.04416
     0.61964    0.04445
     0.63413    0.04485
     0.64863    0.04536
     0.66312    0.04597
     0.67762    0.04671
     0.69211    0.04755
     0.70661    0.04853
     0.72110    0.04963
     0.73560    0.05087
     0.75010    0.05227
     0.76459    0.05384
     0.77908    0.05561
     0.79358    0.05758
     0.80807    0.05981
     0.82256    0.06232
     0.83704    0.06516
     0.85153    0.06839
     0.86601    0.07209
     0.88049    0.07636
     0.89497    0.08135
     0.90944    0.08726
     0.92391    0.09438
     0.93836    0.10321
     0.95276    0.11457
     0.96698    0.12995
     0.98052    0.15285
     0.99221    0.18515
     1.00000    0.31565
