#      x          Cp  
     1.00000    0.31062
     0.99221    0.16377
     0.98052    0.12266
     0.96698    0.09085
     0.95276    0.06771
     0.93836    0.04926
     0.92391    0.03385
     0.90944    0.02050
     0.89497    0.00865
     0.88049   -0.00209
     0.86601   -0.01195
     0.85153   -0.02111
     0.83704   -0.02972
     0.82256   -0.03788
     0.80807   -0.04566
     0.79358   -0.05312
     0.77908   -0.06033
     0.76459   -0.06732
     0.75010   -0.07414
     0.73560   -0.08081
     0.72110   -0.08735
     0.70661   -0.09381
     0.69211   -0.10019
     0.67762   -0.10651
     0.66312   -0.11278
     0.64863   -0.11904
     0.63413   -0.12527
     0.61964   -0.13151
     0.60515   -0.13775
     0.59066   -0.14401
     0.57617   -0.15029
     0.56169   -0.15660
     0.54721   -0.16296
     0.53273   -0.16935
     0.51825   -0.17580
     0.50378   -0.18230
     0.48931   -0.18887
     0.47485   -0.19549
     0.46039   -0.20219
     0.44594   -0.20895
     0.43149   -0.21579
     0.41705   -0.22270
     0.40262   -0.22969
     0.38819   -0.23677
     0.37378   -0.24393
     0.35937   -0.25117
     0.34497   -0.25850
     0.33059   -0.26592
     0.31621   -0.27344
     0.30185   -0.28105
     0.28751   -0.28877
     0.27318   -0.29658
     0.25888   -0.30451
     0.24459   -0.31256
     0.23033   -0.32074
     0.21609   -0.32905
     0.20189   -0.33752
     0.18773   -0.34617
     0.17361   -0.35501
     0.15955   -0.36408
     0.14554   -0.37343
     0.13162   -0.38310
     0.11779   -0.39315
     0.10409   -0.40367
     0.09056   -0.41475
     0.07727   -0.42644
     0.06433   -0.43876
     0.05198   -0.45143
     0.04062   -0.46354
     0.03079   -0.47295
     0.02290   -0.47641
     0.01687   -0.47029
     0.01231   -0.45058
     0.00882   -0.41186
     0.00612   -0.34510
     0.00401   -0.23715
     0.00238   -0.06931
     0.00119    0.17482
     0.00041    0.48303
     0.00004    0.77890
     0.00004    0.96039
     0.00041    0.99358
     0.00119    0.89431
     0.00238    0.73511
     0.00401    0.57196
     0.00612    0.42714
     0.00882    0.30452
     0.01231    0.20201
     0.01687    0.11618
     0.02290    0.04472
     0.03079   -0.01330
     0.04062   -0.05817
     0.05198   -0.09117
     0.06433   -0.11487
     0.07727   -0.13190
     0.09056   -0.14423
     0.10409   -0.15321
     0.11779   -0.15971
     0.13162   -0.16434
     0.14554   -0.16752
     0.15955   -0.16953
     0.17361   -0.17061
     0.18773   -0.17092
     0.20189   -0.17059
     0.21609   -0.16972
     0.23033   -0.16839
     0.24459   -0.16667
     0.25888   -0.16462
     0.27318   -0.16229
     0.28751   -0.15970
     0.30185   -0.15690
     0.31621   -0.15392
     0.33059   -0.15078
     0.34497   -0.14750
     0.35937   -0.14410
     0.37378   -0.14060
     0.38819   -0.13701
     0.40262   -0.13334
     0.41705   -0.12961
     0.43149   -0.12583
     0.44594   -0.12200
     0.46039   -0.11813
     0.47485   -0.11422
     0.48931   -0.11029
     0.50378   -0.10633
     0.51825   -0.10234
     0.53273   -0.09833
     0.54721   -0.09430
     0.56169   -0.09025
     0.57617   -0.08618
     0.59066   -0.08208
     0.60515   -0.07795
     0.61964   -0.07379
     0.63413   -0.06960
     0.64863   -0.06536
     0.66312   -0.06107
     0.67762   -0.05672
     0.69211   -0.05230
     0.70661   -0.04779
     0.72110   -0.04319
     0.73560   -0.03847
     0.75010   -0.03362
     0.76459   -0.02861
     0.77908   -0.02342
     0.79358   -0.01800
     0.80807   -0.01233
     0.82256   -0.00635
     0.83704   -0.00001
     0.85153    0.00677
     0.86601    0.01408
     0.88049    0.02205
     0.89497    0.03084
     0.90944    0.04069
     0.92391    0.05194
     0.93836    0.06515
     0.95276    0.08123
     0.96698    0.10180
     0.98052    0.13067
     0.99221    0.16891
     1.00000    0.31062
