#      x          Cp  
     1.00000    0.31041
     0.99221    0.16609
     0.98052    0.12640
     0.96698    0.09606
     0.95276    0.07420
     0.93836    0.05693
     0.92391    0.04262
     0.90944    0.03032
     0.89497    0.01947
     0.88049    0.00972
     0.86601    0.00080
     0.85153   -0.00743
     0.83704   -0.01512
     0.82256   -0.02237
     0.80807   -0.02924
     0.79358   -0.03580
     0.77908   -0.04211
     0.76459   -0.04820
     0.75010   -0.05410
     0.73560   -0.05986
     0.72110   -0.06548
     0.70661   -0.07100
     0.69211   -0.07644
     0.67762   -0.08180
     0.66312   -0.08710
     0.64863   -0.09237
     0.63413   -0.09759
     0.61964   -0.10280
     0.60515   -0.10799
     0.59066   -0.11317
     0.57617   -0.11834
     0.56169   -0.12353
     0.54721   -0.12871
     0.53273   -0.13391
     0.51825   -0.13912
     0.50378   -0.14435
     0.48931   -0.14959
     0.47485   -0.15485
     0.46039   -0.16013
     0.44594   -0.16542
     0.43149   -0.17073
     0.41705   -0.17606
     0.40262   -0.18139
     0.38819   -0.18673
     0.37378   -0.19206
     0.35937   -0.19740
     0.34497   -0.20272
     0.33059   -0.20803
     0.31621   -0.21331
     0.30185   -0.21856
     0.28751   -0.22375
     0.27318   -0.22889
     0.25888   -0.23395
     0.24459   -0.23892
     0.23033   -0.24378
     0.21609   -0.24850
     0.20189   -0.25305
     0.18773   -0.25740
     0.17361   -0.26151
     0.15955   -0.26532
     0.14554   -0.26877
     0.13162   -0.27175
     0.11779   -0.27415
     0.10409   -0.27576
     0.09056   -0.27629
     0.07727   -0.27531
     0.06433   -0.27205
     0.05198   -0.26527
     0.04062   -0.25304a
     0.03079   -0.23279
     0.02290   -0.20209
     0.01687   -0.15885
     0.01231   -0.10043
     0.00882   -0.02260
     0.00612    0.08132
     0.00401    0.21962
     0.00238    0.40016
     0.00119    0.61951
     0.00041    0.84029
     0.00004    0.98161
     0.00004    0.98161
     0.00041    0.84029
     0.00119    0.61951
     0.00238    0.40016
     0.00401    0.21962
     0.00612    0.08132
     0.00882   -0.02260
     0.01231   -0.10043
     0.01687   -0.15885
     0.02290   -0.20209
     0.03079   -0.23279
     0.04062   -0.25304
     0.05198   -0.26527
     0.06433   -0.27205
     0.07727   -0.27531
     0.09056   -0.27629
     0.10409   -0.27576
     0.11779   -0.27415
     0.13162   -0.27175
     0.14554   -0.26877
     0.15955   -0.26532
     0.17361   -0.26151
     0.18773   -0.25740
     0.20189   -0.25305
     0.21609   -0.24850
     0.23033   -0.24378
     0.24459   -0.23892
     0.25888   -0.23395
     0.27318   -0.22889
     0.28751   -0.22375
     0.30185   -0.21856
     0.31621   -0.21331
     0.33059   -0.20803
     0.34497   -0.20272
     0.35937   -0.19740
     0.37378   -0.19206
     0.38819   -0.18673
     0.40262   -0.18139
     0.41705   -0.17606
     0.43149   -0.17073
     0.44594   -0.16542
     0.46039   -0.16013
     0.47485   -0.15485
     0.48931   -0.14959
     0.50378   -0.14435
     0.51825   -0.13912
     0.53273   -0.13391
     0.54721   -0.12871
     0.56169   -0.12353
     0.57617   -0.11834
     0.59066   -0.11317
     0.60515   -0.10799
     0.61964   -0.10280
     0.63413   -0.09759
     0.64863   -0.09237
     0.66312   -0.08710
     0.67762   -0.08180
     0.69211   -0.07644
     0.70661   -0.07100
     0.72110   -0.06548
     0.73560   -0.05986
     0.75010   -0.05410
     0.76459   -0.04820
     0.77908   -0.04211
     0.79358   -0.03580
     0.80807   -0.02924
     0.82256   -0.02237
     0.83704   -0.01512
     0.85153   -0.00743
     0.86601    0.00080
     0.88049    0.00972
     0.89497    0.01947
     0.90944    0.03032
     0.92391    0.04262
     0.93836    0.05693
     0.95276    0.07420
     0.96698    0.09606
     0.98052    0.12640
     0.99221    0.16609
     1.00000    0.31041
