#      x          Cp  
     1.00000    0.31230
     0.99221    0.16066
     0.98052    0.11676
     0.96698    0.08207
     0.95276    0.05638
     0.93836    0.03557
     0.92391    0.01795
     0.90944    0.00251
     0.89497   -0.01136
     0.88049   -0.02404
     0.86601   -0.03581
     0.85153   -0.04686
     0.83704   -0.05733
     0.82256   -0.06732
     0.80807   -0.07694
     0.79358   -0.08623
     0.77908   -0.09527
     0.76459   -0.10410
     0.75010   -0.11277
     0.73560   -0.12130
     0.72110   -0.12973
     0.70661   -0.13809
     0.69211   -0.14640
     0.67762   -0.15468
     0.66312   -0.16296
     0.64863   -0.17124
     0.63413   -0.17955
     0.61964   -0.18791
     0.60515   -0.19632
     0.59066   -0.20480
     0.57617   -0.21336
     0.56169   -0.22202
     0.54721   -0.23078
     0.53273   -0.23967
     0.51825   -0.24868
     0.50378   -0.25783
     0.48931   -0.26714
     0.47485   -0.27661
     0.46039   -0.28626
     0.44594   -0.29609
     0.43149   -0.30613
     0.41705   -0.31638
     0.40262   -0.32686
     0.38819   -0.33759
     0.37378   -0.34858
     0.35937   -0.35985
     0.34497   -0.37143
     0.33059   -0.38334
     0.31621   -0.39560
     0.30185   -0.40826
     0.28751   -0.42134
     0.27318   -0.43490
     0.25888   -0.44899
     0.24459   -0.46366
     0.23033   -0.47901
     0.21609   -0.49512
     0.20189   -0.51211
     0.18773   -0.53013
     0.17361   -0.54935
     0.15955   -0.57003
     0.14554   -0.59245
     0.13162   -0.61703
     0.11779   -0.64430
     0.10409   -0.67500
     0.09056   -0.71014
     0.07727   -0.75116
     0.06433   -0.79997
     0.05198   -0.85900
     0.04062   -0.93041
     0.03079   -1.01410
     0.02290   -1.10623
     0.01687   -1.20083
     0.01231   -1.29228
     0.00882   -1.37477
     0.00612   -1.43760
     0.00401   -1.46160
     0.00238   -1.40937
     0.00119   -1.22187
     0.00041   -0.84143
     0.00004   -0.29705
     0.00004    0.24652
     0.00041    0.68772
     0.00119    0.93312
     0.00238    0.99997
     0.00401    0.96181
     0.00612    0.87536
     0.00882    0.77087
     0.01231    0.66230
     0.01687    0.55574
     0.02290    0.45461
     0.03079    0.36258
     0.04062    0.28374
     0.05198    0.22004
     0.06433    0.17011
     0.07727    0.13104
     0.09056    0.10008
     0.10409    0.07518
     0.11779    0.05489
     0.13162    0.03817
     0.14554    0.02428
     0.15955    0.01267
     0.17361    0.00294
     0.18773   -0.00525
     0.20189   -0.01213
     0.21609   -0.01790
     0.23033   -0.02271
     0.24459   -0.02671
     0.25888   -0.02999
     0.27318   -0.03266
     0.28751   -0.03477
     0.30185   -0.03641
     0.31621   -0.03762
     0.33059   -0.03845
     0.34497   -0.03895
     0.35937   -0.03915
     0.37378   -0.03909
     0.38819   -0.03879
     0.40262   -0.03828
     0.41705   -0.03757
     0.43149   -0.03670
     0.44594   -0.03567
     0.46039   -0.03450
     0.47485   -0.03320
     0.48931   -0.03179
     0.50378   -0.03027
     0.51825   -0.02865
     0.53273   -0.02695
     0.54721   -0.02516
     0.56169   -0.02328
     0.57617   -0.02134
     0.59066   -0.01931
     0.60515   -0.01722
     0.61964   -0.01505
     0.63413   -0.01280
     0.64863   -0.01047
     0.66312   -0.00806
     0.67762   -0.00557
     0.69211   -0.00297
     0.70661   -0.00027
     0.72110    0.00254
     0.73560    0.00549
     0.75010    0.00858
     0.76459    0.01184
     0.77908    0.01529
     0.79358    0.01896
     0.80807    0.02288
     0.82256    0.02710
     0.83704    0.03167
     0.85153    0.03665
     0.86601    0.04214
     0.88049    0.04824
     0.89497    0.05511
     0.90944    0.06298
     0.92391    0.07216
     0.93836    0.08316
     0.95276    0.09688
     0.96698    0.11485
     0.98052    0.14075
     0.99221    0.17605
     1.00000    0.31230
